Vehicle_ID,Mileage_km,Fuel_Consumption_L_per_100km,Engine_Hours,Number_of_Trips,Engine_Temperature_C,Tire_Pressure_PSI,Battery_Voltage_V,Oil_Level_L,Vibration_Units,Noise_Level_dB,Breakdown_Incidents,Part_Replacements,Service_History,MaintenanceRequired
V03058,275580,17.78,3285,1487,89,30.4,12.1,1.49,7.11,52,2,1,4,1
V03059,263839,12.07,6399,811,78,42.9,11.4,4.1,3.06,63,0,8,0,1
V03060,128228,14.35,3242,522,117,35.5,10.2,2.37,5.57,63,3,1,2,0
V03061,163541,7.62,6372,2098,100,33.6,10.3,1.9,2.99,65,0,2,1,0
V03062,295306,10.99,7471,2477,118,43.4,14.0,2.37,8.38,77,1,5,4,1
V03063,231801,7.08,9537,771,117,33.3,14.9,1.84,9.31,86,1,0,0,1
V03064,190184,17.74,2117,359,81,43.8,14.3,4.99,6.62,54,4,3,4,0
V03065,201944,17.14,9011,2059,80,31.3,12.4,3.46,1.83,68,1,3,4,0
V03066,107373,11.88,6806,1043,107,43.0,11.5,3.24,8.37,94,4,6,4,1
V03067,234747,12.71,570,1567,93,43.4,12.2,3.1,0.11,76,3,2,3,1
V03068,53129,12.87,8124,2133,70,42.1,10.3,1.11,4.85,94,2,8,0,1
V03069,217822,12.92,5962,2190,77,41.6,12.0,4.55,9.32,92,3,7,3,0
V03070,296474,12.83,10932,488,116,39.8,14.1,3.4,2.8,74,2,1,3,1
V03071,126196,9.51,3168,1119,105,20.1,10.6,3.79,7.01,75,3,0,0,1
V03072,175841,8.45,4710,2285,100,34.3,12.8,4.89,4.08,93,3,3,3,0
V03073,186790,9.07,5000,154,107,41.4,15.0,4.18,9.91,99,2,1,1,1
V03074,135302,15.31,1442,596,91,42.8,12.4,4.45,8.48,90,4,7,1,1
V03075,186634,10.54,4504,2050,118,40.1,13.9,1.23,5.36,50,3,9,3,1
V03076,298508,10.44,8528,1041,116,36.5,13.5,1.89,7.76,73,3,8,3,1
V03077,85130,11.19,8197,419,105,39.8,12.1,3.32,9.6,72,1,9,1,0
V03078,229055,12.4,7841,450,86,38.1,13.3,1.99,2.16,77,1,1,0,1
V03079,152915,13.8,7564,1625,72,27.6,14.0,1.64,3.1,58,1,0,1,1
V03080,134788,17.79,2858,499,90,36.0,14.6,1.49,0.81,74,3,5,1,0
V03081,78528,6.98,3101,2167,90,29.1,11.1,4.2,2.65,83,3,7,1,1
V03082,193029,10.99,2888,1836,112,31.3,10.6,4.85,1.67,54,4,1,4,1
V03083,119104,9.71,1308,1328,116,36.7,11.2,3.7,7.07,86,3,3,3,0
V03084,113118,10.6,6922,154,108,22.8,13.6,1.76,3.92,76,4,6,4,1
V03085,266701,16.23,8012,945,91,42.1,10.4,3.37,8.08,63,0,8,1,1
V03086,111947,8.32,4039,413,72,42.2,13.4,4.53,7.7,82,0,2,1,1
V03087,159178,17.35,7514,184,110,32.4,12.3,4.45,7.27,63,4,9,4,0
V03088,92956,7.76,7582,1841,76,39.3,12.5,3.69,7.14,96,4,0,4,1
V03089,219773,10.42,8683,1145,93,33.6,13.4,1.9,5.71,77,4,3,1,0
V03090,82419,12.04,1931,911,103,29.8,12.4,1.52,9.78,86,4,0,5,0
V03091,114519,13.84,640,2094,81,41.9,11.5,2.59,9.29,83,4,4,4,0
V03092,90421,17.41,9313,884,80,32.9,10.3,3.6,9.71,73,2,3,1,0
V03093,271702,15.64,7320,1329,73,21.8,10.5,3.85,6.6,85,2,6,1,1
V03094,65247,11.28,3990,2096,105,26.0,14.4,2.15,2.56,57,2,3,3,0
V03095,215356,6.95,3698,214,103,40.0,12.7,3.63,8.45,65,0,7,1,0
V03096,163379,16.87,9651,63,116,31.4,11.8,4.34,0.34,96,1,3,3,1
V03097,237925,14.25,8169,339,102,36.4,11.8,3.99,5.25,91,0,9,3,1
V03098,162623,17.74,7704,2032,78,27.2,14.6,3.31,5.31,64,2,0,0,0
V03099,53205,14.71,6394,257,104,30.5,14.0,4.35,1.91,78,1,7,5,0
V03100,75682,9.22,10873,2485,85,40.0,10.5,1.25,0.31,96,4,2,4,1
V03101,210307,8.43,4559,2470,75,44.2,13.3,2.65,2.21,65,0,6,1,1
V03102,132842,10.12,6609,1527,105,21.8,11.4,1.71,7.42,62,0,7,4,1
V03103,216636,6.15,9923,1361,73,29.6,11.8,2.82,2.14,75,4,2,3,0
V03104,284328,14.98,9256,2258,112,29.2,13.8,3.38,8.05,58,4,2,2,1
V03105,98170,11.11,1680,1154,109,44.6,12.3,3.99,0.95,87,2,2,4,0
V03106,134805,6.64,996,1929,93,34.6,13.3,4.39,3.69,66,1,6,4,0
V03107,214799,15.88,2155,1559,88,25.3,13.8,1.83,9.62,96,4,0,2,1
V03108,183340,10.97,4024,309,102,20.5,11.0,1.22,9.99,99,3,5,0,1
V03109,124579,17.36,9442,1238,101,34.8,13.4,3.0,6.76,79,1,9,4,0
V03110,285159,10.66,3651,1605,84,21.7,14.1,4.15,7.33,65,2,0,3,1
V03111,236699,14.22,9874,1028,101,21.8,13.9,4.3,6.77,58,0,4,0,1
V03112,156907,14.44,6116,2328,101,38.4,10.7,1.1,0.61,82,0,9,3,1
V03113,263635,9.18,6034,913,115,41.0,14.6,2.1,3.22,82,4,6,4,1
V03114,206264,11.4,6178,2364,105,30.5,10.7,1.03,5.99,83,4,5,2,0
V03115,95675,12.19,5250,1042,97,40.9,10.4,3.42,2.38,84,0,4,3,1
V03116,82814,6.34,1776,159,76,21.6,12.0,3.99,3.95,85,2,3,2,0
V03117,64579,15.36,5863,1588,110,26.0,14.9,2.26,5.96,53,0,0,5,1
V03118,191895,8.32,3463,1196,85,29.9,11.7,2.93,9.69,58,3,2,1,0
V03119,66521,13.39,3970,282,105,26.8,14.7,4.56,8.3,90,0,2,5,1
V03120,51395,16.16,10915,2058,98,35.6,11.8,4.79,9.95,88,2,1,2,1
V03121,57157,14.88,3703,2315,70,29.0,11.5,3.26,9.16,50,0,5,1,0
V03122,121538,11.69,6646,2162,107,42.2,14.8,1.06,2.43,87,4,1,5,1
V03123,225918,15.74,2757,664,104,32.8,11.6,1.01,5.62,84,3,6,2,1
V03124,254667,8.2,11661,2087,75,41.0,15.0,1.61,7.16,56,0,3,3,0
V03125,172041,13.71,6622,1917,72,20.1,13.2,3.17,5.92,66,2,6,5,1
V03126,268720,6.35,8636,863,113,32.7,13.9,3.41,7.11,65,0,7,3,1
V03127,131713,11.17,7720,1559,78,31.1,13.2,4.68,3.78,63,1,7,5,0
V03128,194748,12.64,6746,2335,106,35.2,13.7,2.34,6.86,57,0,3,1,1
V03129,145984,11.2,3884,202,112,26.9,13.0,2.81,3.7,87,4,4,4,1
V03130,203596,11.53,6975,1749,117,24.5,11.0,2.07,8.36,71,0,7,5,1
V03131,114408,9.01,6298,1169,118,42.7,11.9,2.73,8.86,63,2,6,3,1
V03132,55490,17.52,859,89,88,35.0,12.2,3.32,2.28,59,3,6,5,0
V03133,242017,13.13,9973,538,112,31.2,12.9,3.72,4.35,85,3,2,4,1
V03134,214912,15.63,4158,455,103,42.7,10.0,4.55,4.07,51,3,4,4,0
V03135,263010,9.11,1190,2389,116,32.8,14.9,1.23,3.0,91,2,1,5,0
V03136,289260,8.88,7975,2391,84,33.2,14.5,4.54,8.67,53,2,5,1,1
V03137,220839,12.08,8394,1753,73,31.5,14.5,1.92,8.35,98,1,6,2,1
V03138,108029,10.56,5638,366,93,41.9,12.9,1.24,5.27,63,3,5,3,1
V03139,235811,14.44,5920,283,104,31.5,13.5,3.22,3.97,52,1,8,2,0
V03140,270559,12.88,8102,1976,113,43.3,14.4,1.01,6.5,77,3,4,0,1
V03141,78513,6.46,6088,240,80,21.9,13.1,2.21,4.43,70,0,0,2,0
V03142,113650,12.81,4793,2303,108,24.1,10.0,3.34,2.12,59,3,8,0,1
V03143,167967,16.53,3037,1314,92,23.8,11.9,2.04,4.88,83,2,3,4,0
V03144,80280,16.88,9533,1137,95,42.0,13.3,4.7,6.89,76,0,7,5,1
V03145,113389,11.31,9903,2273,87,37.1,14.0,1.74,1.89,89,1,0,0,1
V03146,213252,7.25,8377,866,90,41.8,11.3,2.97,1.2,57,2,0,2,1
V03147,240850,16.66,10849,2229,71,34.9,13.6,3.39,8.83,65,4,4,3,1
V03148,82437,7.09,7376,1376,111,21.2,14.5,4.18,7.36,63,3,2,2,0
V03149,144434,17.33,10096,541,90,37.8,10.5,3.95,5.68,76,0,6,5,0
V03150,51154,17.99,2038,770,109,25.9,13.8,1.79,5.58,96,0,6,1,1
V03151,77388,12.2,1292,207,113,42.1,12.4,4.51,6.14,99,3,6,1,0
V03152,54644,14.72,10794,1637,110,42.9,12.3,4.55,6.21,69,0,6,5,0
V03153,148918,14.59,1152,331,87,40.5,12.9,3.45,0.16,90,1,3,1,0
V03154,133649,14.06,1239,2086,89,23.4,11.7,1.38,7.03,53,0,6,5,1
V03155,93623,17.16,10270,745,90,25.2,13.4,3.75,0.28,51,2,0,3,0
V03156,227683,11.69,8030,1799,94,32.9,12.1,1.07,7.41,93,2,6,0,1
V03157,130768,11.2,5927,439,104,32.0,13.7,2.21,5.89,96,2,6,1,0
V03158,84691,16.62,10403,579,86,27.2,10.2,4.99,8.47,95,2,3,5,1
V03159,121997,9.03,1868,1217,100,20.8,13.8,4.34,7.84,70,0,1,0,0
V03160,62802,10.93,9597,640,101,41.4,13.3,3.11,8.35,60,2,4,3,1
V03161,149433,8.91,9277,1682,94,20.8,12.7,4.41,0.47,50,3,3,1,0
V03162,142049,14.68,2906,1036,118,27.5,13.1,2.28,5.22,56,2,4,5,0
V03163,226119,12.2,11852,2060,110,20.9,11.9,2.26,8.06,67,3,0,5,1
V03164,288361,13.52,5756,1656,103,30.0,11.5,2.43,1.06,97,1,5,5,0
V03165,102599,16.9,3136,406,105,20.1,10.6,1.61,1.79,87,0,3,5,0
V03166,110145,9.8,9666,991,73,27.6,14.8,3.34,2.88,73,1,4,0,0
V03167,258307,7.52,1342,1213,81,41.3,13.1,4.51,2.11,59,3,2,4,0
V03168,106821,9.87,11896,473,109,29.1,11.2,2.58,6.01,96,3,2,3,1
V03169,165007,14.52,2593,202,104,33.3,12.1,4.34,4.49,58,2,5,0,0
V03170,71133,7.25,5385,776,109,37.6,12.5,4.55,7.89,58,2,4,0,0
V03171,95083,14.44,1338,1413,108,35.6,11.9,2.56,2.61,60,2,6,2,0
V03172,89811,10.56,1581,1375,101,41.9,11.6,2.05,1.32,95,1,8,5,0
V03173,98774,12.07,2714,2244,84,27.2,13.6,1.32,0.96,77,0,4,3,1
V03174,226061,17.15,1840,840,103,22.9,12.4,2.83,9.41,68,1,0,0,1
V03175,215893,11.37,10397,1765,115,25.4,14.2,3.86,3.74,54,4,9,0,1
V03176,291073,11.31,4998,2053,102,27.4,15.0,1.25,2.91,91,2,1,0,1
V03177,230401,11.38,11629,1992,116,33.1,13.2,2.45,2.24,61,2,0,1,1
V03178,258735,13.34,1220,2124,75,33.6,11.3,3.51,4.83,71,2,4,5,1
V03179,188062,11.89,9406,704,105,31.9,12.9,1.7,4.64,99,3,5,2,1
V03180,284699,9.37,8960,1338,91,40.9,10.6,1.91,6.41,87,0,1,5,0
V03181,277336,15.91,10601,349,101,31.9,13.9,1.16,6.8,66,3,1,3,1
V03182,54026,8.7,3851,1951,93,39.7,12.7,3.5,7.44,95,1,9,3,1
V03183,102286,11.77,10063,1796,76,33.9,14.8,2.67,6.65,61,0,2,2,1
V03184,77373,16.08,9883,1380,79,42.8,12.8,4.84,2.22,64,0,7,0,0
V03185,220216,11.2,747,946,112,36.7,12.5,2.62,9.87,74,0,4,5,1
V03186,263577,11.86,6680,2426,118,20.5,11.1,2.49,7.19,51,0,0,4,1
V03187,127452,15.32,4352,1896,113,32.6,11.9,2.0,0.17,73,1,6,5,0
V03188,151746,14.14,6599,855,119,28.1,11.8,2.68,1.33,79,0,1,3,0
V03189,228809,11.04,3171,1884,104,26.6,12.2,3.36,9.81,64,4,6,5,0
V03190,271005,10.67,11628,537,110,26.3,11.5,3.74,2.59,72,0,5,1,1
V03191,55785,9.29,11830,635,95,29.4,13.1,4.4,3.66,83,4,1,4,0
V03192,191005,13.4,3014,2301,72,29.6,12.3,3.81,8.73,99,2,0,1,1
V03193,290797,12.14,6772,1566,117,26.9,13.6,4.63,0.87,50,2,9,4,1
V03194,128025,14.66,4795,2185,97,35.8,11.2,1.87,4.5,61,4,8,1,1
V03195,224579,17.83,4415,925,71,26.3,14.7,1.18,3.55,67,0,1,2,0
V03196,294380,10.6,4726,1244,85,30.4,13.9,3.74,1.38,74,4,1,3,0
V03197,141023,9.29,1437,2295,98,22.1,12.3,1.4,1.97,78,4,4,1,1
V03198,290687,12.74,3671,653,96,24.7,12.6,3.56,2.1,71,4,3,5,0
V03199,141286,9.39,2818,736,94,42.6,13.8,3.22,1.32,77,4,1,2,0
V03200,110521,12.92,3135,228,98,21.9,12.8,2.05,1.23,56,1,1,3,0
V03201,139871,9.75,5629,1286,73,31.1,12.0,2.94,2.48,54,3,1,2,0
V03202,283594,9.74,2425,166,94,23.2,11.4,3.82,7.36,66,4,4,3,1
V03203,174147,15.25,2981,871,83,25.7,14.7,4.17,2.62,52,1,5,0,0
V03204,67680,9.42,3943,1817,103,35.9,10.2,2.85,6.03,50,2,8,4,1
V03205,258089,12.42,6310,1049,72,32.8,10.8,3.19,2.8,51,1,9,1,1
V03206,62486,8.25,5670,414,89,40.6,14.5,3.92,4.29,94,3,4,5,0
V03207,191120,17.09,1904,714,106,37.6,12.9,4.29,5.76,80,0,2,4,0
V03208,57512,11.28,2412,1563,88,29.7,11.9,4.02,5.3,89,0,8,0,0
V03209,255221,14.33,9662,2119,119,35.3,13.5,3.39,9.32,67,4,1,1,0
V03210,179099,6.74,9797,1858,72,32.3,12.5,4.46,0.66,79,2,9,3,0
V03211,122526,7.51,9511,2033,93,36.2,13.3,4.11,7.44,54,4,6,5,0
V03212,240225,17.51,2500,2155,76,44.5,13.1,3.81,8.9,72,2,8,3,1
V03213,237672,16.81,8706,1966,103,36.7,11.3,1.34,7.74,70,0,3,3,1
V03214,166678,11.61,11202,1275,114,30.8,14.7,1.32,4.04,82,4,1,3,1
V03215,203172,16.55,3631,1254,99,31.1,13.6,2.95,5.98,72,0,3,0,0
V03216,54999,10.3,3866,1784,80,33.0,10.7,2.03,5.7,65,0,8,4,0
V03217,235318,13.2,10461,462,116,32.5,12.5,4.95,6.14,53,3,3,1,1
V03218,166347,15.1,9986,1913,79,21.3,10.5,1.76,4.65,85,2,9,0,1
V03219,125960,6.01,5483,528,96,35.9,11.1,2.48,5.77,98,0,1,4,1
V03220,71773,6.14,5882,1097,117,22.0,12.6,2.82,4.66,86,4,5,2,0
V03221,173554,14.02,7909,238,105,38.9,13.2,4.08,8.5,51,3,4,2,0
V03222,190528,8.34,5931,1707,93,41.1,13.7,2.98,0.98,82,0,1,4,1
V03223,51246,10.28,1851,2205,78,25.2,14.9,3.12,9.54,70,3,0,2,1
V03224,293728,14.25,4573,1670,93,27.8,12.0,1.03,5.33,96,4,3,0,1
V03225,191437,11.81,1709,512,78,29.2,10.4,4.31,4.34,81,2,5,4,0
V03226,73257,17.82,11900,1380,75,24.5,14.3,4.75,9.32,92,4,4,1,0
V03227,182370,16.8,6675,2059,113,44.5,11.3,4.69,2.96,86,4,2,3,1
V03228,89618,6.14,8501,148,92,31.6,10.1,4.75,5.11,61,0,6,0,0
V03229,167382,17.2,7677,753,102,31.9,12.7,3.46,7.99,75,2,9,2,0
V03230,229211,7.2,7253,1384,74,20.6,13.0,2.09,1.58,53,2,4,5,1
V03231,272057,15.19,5056,955,72,39.8,14.3,2.68,0.91,58,3,8,1,0
V03232,70130,17.79,2566,589,99,30.9,13.6,2.21,1.8,79,4,0,2,0
V03233,87484,16.43,8430,1237,108,26.1,12.7,4.82,5.32,73,4,5,1,0
V03234,278767,11.19,4600,2197,82,30.8,11.1,4.93,3.64,98,3,3,5,0
V03235,178128,17.45,2135,1152,107,35.2,13.0,4.72,3.88,83,3,4,3,0
V03236,253783,10.36,3158,285,104,33.7,13.9,3.32,6.08,80,0,3,3,0
V03237,281096,13.69,4514,747,74,25.7,13.8,2.3,8.93,78,0,8,2,1
V03238,160500,8.0,3328,1965,99,37.7,12.2,1.04,4.67,63,3,4,4,0
V03239,228771,11.57,6732,1129,112,23.7,13.0,3.28,4.34,89,3,1,0,1
V03240,64391,15.3,10055,537,77,27.1,13.4,3.28,5.5,59,3,6,2,0
V03241,210676,15.31,3417,1892,79,25.3,13.1,2.92,7.9,56,1,7,4,1
V03242,87422,15.73,10790,1456,110,37.1,14.6,3.24,8.98,66,2,1,2,0
V03243,233605,10.66,5985,2016,94,24.2,10.9,2.0,6.49,73,3,8,1,1
V03244,136062,6.73,2459,1030,100,41.5,14.3,3.32,8.04,72,2,3,1,0
V03245,241241,8.37,10348,589,89,26.7,13.3,3.58,7.17,84,3,9,5,0
V03246,241956,13.8,6342,427,86,34.1,11.5,2.43,3.78,67,1,8,2,0
V03247,173251,10.78,9540,1420,85,39.6,10.7,1.84,4.88,66,2,9,4,1
V03248,57770,10.06,3313,647,94,32.7,12.1,4.65,8.99,89,0,9,1,0
V03249,255718,10.91,9790,2178,73,39.5,14.5,4.31,9.61,52,0,7,3,1
V03250,124775,12.36,8408,1589,117,35.6,11.3,4.36,0.58,73,3,0,1,1
V03251,299399,9.08,3860,2275,119,25.2,14.2,1.73,9.76,69,2,2,3,1
V03252,223605,7.93,4327,307,94,40.3,14.6,1.31,6.82,95,0,7,5,1
V03253,200860,8.93,8023,2443,81,30.5,11.7,1.77,3.61,74,2,5,3,1
V03254,253275,12.15,4681,648,116,34.3,11.0,3.97,6.07,94,2,1,0,1
V03255,279216,9.69,6818,1495,93,23.5,10.7,2.79,8.6,68,3,1,4,0
V03256,144905,7.39,10826,276,81,20.8,14.7,3.4,4.52,62,2,4,0,0
V03257,154978,6.12,4935,359,94,30.7,12.0,1.49,0.85,63,0,4,1,0
V03258,298480,13.64,8207,2195,96,37.0,11.4,4.8,3.17,80,1,3,1,1
V03259,200957,9.84,2881,1303,102,26.1,11.9,1.93,3.17,70,3,0,2,0
V03260,251511,7.49,9279,1052,83,43.2,10.3,2.89,3.54,84,0,8,1,0
V03261,94261,8.44,1800,731,80,35.7,12.1,1.56,2.89,93,4,8,0,0
V03262,204678,12.08,9315,298,115,41.5,10.9,1.64,3.08,90,0,5,0,0
V03263,88677,14.14,1559,319,97,31.1,11.3,3.43,6.3,50,1,9,4,0
V03264,264393,9.15,3410,1268,108,24.1,12.0,2.4,9.86,74,0,2,1,1
V03265,196627,10.13,10519,1512,106,34.4,14.0,4.67,8.01,89,3,9,4,0
V03266,155553,15.48,3736,370,93,40.9,10.2,4.35,3.52,96,2,6,2,0
V03267,105044,17.51,2879,622,112,43.7,10.5,4.72,0.03,85,3,2,3,1
V03268,214180,11.8,5283,1763,96,40.1,11.0,2.32,8.74,95,1,2,2,0
V03269,58599,10.59,11354,1977,73,40.3,12.0,3.27,0.11,75,3,0,3,1
V03270,109137,8.69,5625,2152,77,29.2,12.7,2.97,3.48,63,1,8,1,0
V03271,57840,17.81,11207,705,94,35.0,12.5,3.3,8.07,74,2,1,0,0
V03272,143870,8.88,6638,1168,114,41.8,10.2,1.72,0.17,96,0,7,4,1
V03273,207655,13.03,2513,1315,107,25.3,10.0,4.67,0.76,61,1,9,3,0
V03274,149456,14.49,3674,333,77,32.3,13.2,1.1,0.37,77,2,1,0,0
V03275,250622,9.18,10057,136,92,33.2,14.7,3.56,3.03,90,4,7,5,0
V03276,214817,7.04,7995,1113,93,25.4,11.0,3.32,6.73,85,1,2,1,1
V03277,176278,17.72,10505,369,86,33.3,13.8,3.73,2.51,89,2,9,0,0
V03278,292368,10.84,11629,127,87,25.9,12.1,3.69,9.61,97,1,8,3,0
V03279,212943,10.82,580,667,82,25.0,14.1,1.79,6.43,83,0,3,0,0
V03280,199402,14.69,10788,633,116,35.8,11.3,2.71,8.14,67,3,8,1,1
V03281,99814,11.41,3602,1967,105,27.2,14.5,4.46,4.18,84,1,6,2,0
V03282,221962,13.46,10351,1373,73,25.3,11.4,3.06,7.18,51,4,5,3,0
V03283,225144,11.67,9211,1588,70,44.9,13.0,4.9,7.82,84,2,5,0,1
V03284,135958,6.97,8142,1196,100,29.5,14.9,4.3,4.35,73,0,9,1,0
V03285,53883,9.14,6414,2158,76,28.0,14.5,3.4,7.05,78,3,9,1,1
V03286,161376,6.01,1415,1179,76,42.8,10.7,3.8,3.45,57,4,4,2,0
V03287,163020,16.63,3496,1213,90,33.8,10.6,2.65,9.15,63,2,5,4,0
V03288,233687,7.21,1912,665,91,30.6,10.1,3.39,5.74,70,2,8,0,0
V03289,82760,6.44,3676,1515,86,44.5,11.7,2.37,3.54,78,4,3,5,0
V03290,282029,6.5,8609,642,90,43.6,12.9,1.76,7.33,94,1,7,4,1
V03291,222080,9.35,5404,2025,84,38.5,11.2,1.01,7.84,56,0,7,5,0
V03292,255712,6.42,6244,1229,95,36.3,13.5,1.16,7.61,61,3,8,0,1
V03293,256214,16.82,2980,57,91,28.5,12.0,2.26,8.28,80,2,0,5,0
V03294,218991,16.46,9257,544,70,27.3,13.2,3.0,2.03,90,4,7,0,0
V03295,245953,15.91,8422,473,102,34.9,10.0,4.01,6.92,70,0,5,4,0
V03296,56030,14.62,7787,345,99,26.1,14.8,3.41,2.1,70,4,4,3,0
V03297,79915,12.79,5692,703,115,40.1,14.6,1.54,3.58,82,3,9,3,1
V03298,290946,10.09,6255,1514,87,30.8,11.0,2.81,8.09,72,3,0,2,1
V03299,254813,16.25,10891,934,110,27.3,10.3,3.23,6.23,62,3,9,3,1
V03300,247988,10.25,2555,1486,78,28.2,11.5,4.74,6.2,54,0,7,0,0
V03301,259567,14.45,3374,2024,114,29.8,14.2,4.78,0.48,70,2,9,3,1
V03302,79391,11.7,2742,2325,110,30.1,11.1,3.26,2.49,66,0,1,2,0
V03303,150601,12.39,9260,1293,70,23.8,12.4,1.99,7.49,87,3,0,4,0
V03304,143529,13.53,8417,1531,71,26.8,11.0,2.33,9.67,60,1,0,5,1
V03305,206119,16.12,2105,2021,100,26.6,12.8,2.37,8.03,98,2,4,3,1
V03306,283542,17.36,6313,2303,87,35.3,12.3,1.06,4.11,97,1,8,0,0
V03307,135838,11.68,1041,458,90,21.5,14.0,2.05,2.13,61,0,4,3,0
V03308,275503,14.38,11241,572,88,42.1,11.3,2.59,1.59,87,0,1,4,0
V03309,138222,17.13,8333,921,107,31.0,12.2,4.45,1.09,97,1,3,3,0
V03310,83951,6.03,2086,2022,117,33.3,13.4,4.47,2.59,86,2,7,3,0
V03311,67095,12.63,5766,2087,94,41.5,11.4,4.0,7.5,58,3,5,5,1
V03312,179171,17.19,4336,1263,78,35.4,13.8,1.26,3.95,72,0,9,5,0
V03313,138280,12.52,8177,1142,94,31.6,13.0,3.92,0.57,82,1,4,3,0
V03314,299763,14.47,2447,379,110,28.5,13.1,2.01,3.07,55,2,8,5,0
V03315,119375,9.61,900,636,82,36.1,14.1,3.73,0.91,93,1,6,5,0
V03316,252501,13.38,8009,749,77,40.1,14.8,1.94,7.22,78,4,0,2,1
V03317,288389,17.65,1539,242,95,25.7,14.3,3.81,5.19,50,2,6,4,0
V03318,247672,8.96,10611,221,77,20.7,10.3,2.91,8.36,55,0,4,1,1
V03319,109918,10.59,10815,256,89,26.7,14.6,1.28,6.72,91,3,4,2,1
V03320,94463,9.58,10387,2376,81,25.1,11.2,4.26,8.49,73,4,6,0,1
V03321,96125,12.42,501,868,107,35.8,12.9,3.04,0.99,60,3,7,0,0
V03322,222633,13.19,9217,829,118,30.9,11.8,2.23,7.63,87,3,3,3,0
V03323,203273,11.6,1557,1603,86,25.8,11.4,2.82,8.84,62,2,0,2,1
V03324,230098,8.06,7928,1279,113,43.8,14.1,3.34,0.13,86,2,3,4,0
V03325,180867,7.85,6049,761,105,31.3,12.5,4.93,9.26,82,3,8,1,1
V03326,96048,8.4,1933,1710,103,39.4,14.8,4.18,0.73,66,1,1,3,0
V03327,137160,13.91,1177,1380,106,28.6,10.2,1.21,6.73,56,1,4,2,1
V03328,74880,9.53,3298,1984,101,41.1,10.4,4.74,0.66,90,1,2,5,0
V03329,76385,14.63,4086,732,82,39.7,13.0,2.27,3.77,83,1,8,2,0
V03330,150157,10.23,6148,796,88,29.9,14.6,4.21,2.61,92,4,1,4,0
V03331,56538,8.34,10332,1640,105,40.7,13.8,1.11,7.06,94,3,1,2,1
V03332,91054,14.66,500,2419,117,29.6,12.7,4.53,7.26,81,1,3,2,0
V03333,255239,12.83,10604,303,98,25.4,13.8,2.47,6.01,82,4,1,0,0
V03334,103025,7.35,4234,2348,91,21.1,11.5,1.49,0.7,81,2,4,2,1
V03335,276361,14.28,1756,2358,73,36.8,12.1,1.02,2.59,92,1,6,2,1
V03336,199396,17.71,10327,1221,99,38.6,15.0,2.74,2.94,98,2,8,1,0
V03337,193579,6.49,1591,88,96,22.2,15.0,4.62,6.85,55,2,2,4,0
V03338,126707,15.15,10207,1420,87,36.3,13.4,4.28,6.17,78,0,9,0,0
V03339,263904,10.33,8697,2273,86,43.8,14.1,3.35,8.07,62,1,0,4,1
V03340,212173,15.2,9759,1184,108,28.2,13.9,1.53,1.8,98,0,1,4,1
V03341,193425,16.67,2099,884,118,40.4,13.0,1.71,4.41,65,1,6,3,1
V03342,157846,13.05,4909,2199,112,27.7,13.7,4.51,2.59,78,2,7,1,1
V03343,121009,13.23,4622,1370,81,24.6,12.3,1.97,5.54,97,1,7,4,0
V03344,60156,10.59,1353,2323,96,21.6,12.2,1.0,0.66,61,4,5,2,1
V03345,71619,8.45,9855,259,86,37.9,10.8,1.08,6.96,74,3,1,5,1
V03346,171074,9.33,3833,1299,79,27.6,12.5,2.53,2.6,93,3,8,1,0
V03347,230764,17.36,4665,983,101,25.6,12.8,4.53,9.62,90,4,4,2,1
V03348,58975,11.07,1500,860,82,33.8,13.0,1.87,3.09,84,3,0,2,0
V03349,290790,11.95,9645,2419,94,30.0,11.5,1.26,5.09,74,0,0,3,0
V03350,62746,14.93,7058,1448,93,38.0,14.2,1.72,9.23,83,4,4,1,1
V03351,195325,14.42,7177,220,95,26.6,11.0,3.32,4.42,86,4,0,2,1
V03352,182525,10.15,6691,815,91,27.7,11.3,3.32,0.75,55,0,9,4,0
V03353,234674,14.99,10789,767,95,25.2,10.9,4.69,1.17,76,2,2,0,1
V03354,110769,17.1,6594,654,118,43.9,11.7,2.56,0.89,91,2,7,3,1
V03355,174074,11.96,1658,550,109,29.3,10.4,4.64,3.19,69,2,8,4,0
V03356,126349,8.93,4979,458,115,22.3,15.0,3.31,7.06,91,1,5,2,1
V03357,61589,6.02,10060,2060,108,30.9,12.7,2.73,5.29,52,1,2,4,0
V03358,131901,14.14,6153,1383,95,27.6,13.9,3.57,0.47,95,3,8,3,0
V03359,286958,17.83,8543,1650,92,35.8,14.6,3.92,9.12,96,4,4,4,1
V03360,103571,11.6,4140,1534,71,45.0,14.6,1.13,6.97,69,2,1,4,0
V03361,144207,14.1,3133,641,113,31.0,14.4,1.74,1.4,75,1,2,0,0
V03362,168288,14.23,9825,1449,102,24.7,13.1,2.76,5.64,91,3,4,0,1
V03363,224589,8.7,4307,1708,74,34.4,13.7,2.0,0.27,52,1,5,5,0
V03364,250204,7.89,11136,2157,102,35.6,14.3,1.68,8.1,60,2,3,5,1
V03365,148479,16.77,6998,898,102,21.8,14.5,3.04,9.56,51,3,7,2,1
V03366,78658,13.98,9578,783,109,31.1,11.1,4.7,4.46,85,3,9,1,1
V03367,103753,10.74,8618,719,93,26.3,13.2,4.18,0.87,93,4,5,5,1
